City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
152,Kuytun,RU,2022-04-16 23:53:12,54.3419,101.5036,43.66,75,86,4.7
153,Mehamn,NO,2022-04-16 23:53:12,71.0357,27.8492,37.51,92,100,31.36
154,Prado,BR,2022-04-16 23:53:12,-17.3411,-39.2208,76.14,73,100,9.86
155,High Level,CA,2022-04-16 23:53:13,58.5169,-117.136,28.51,69,100,14.97
156,Presidencia Roque Saenz Pena,AR,2022-04-16 23:53:13,-26.7852,-60.4388,62.83,73,84,5.75
157,Kavieng,PG,2022-04-16 23:53:13,-2.5744,150.7967,83.79,74,36,9.82
158,Cayenne,GF,2022-04-16 23:53:14,4.9333,-52.3333,81.09,1,20,8.01
159,El Prat De Llobregat,ES,2022-04-16 23:53:14,41.3278,2.0947,65.03,78,0,4.61
160,Salinas,US,2022-04-16 23:48:51,36.6777,-121.6555,65.01,70,0,14.97
161,Taltal,CL,2022-04-16 23:53:15,-25.4,-70.4833,63.23,73,18,5.14
162,Chongqing,CN,2022-04-16 23:53:15,29.5628,106.5528,57.09,97,100,8.95
163,Lagoa,PT,2022-04-16 23:53:15,39.05,-27.9833,58.57,76,10,13.53
164,Pierre,US,2022-04-16 23:51:37,44.3683,-100.351,46.06,30,0,7.0
165,Lahat,ID,2022-04-16 23:53:16,-3.8,103.5333,74.16,98,99,1.59
166,Provideniya,RU,2022-04-16 23:46:09,64.3833,-173.3,32.59,92,92,11.83
167,Severo-Kurilsk,RU,2022-04-16 23:53:16,50.6789,156.125,32.09,76,100,8.14
168,Ranfurly,NZ,2022-04-16 23:53:16,-45.1333,170.1,50.11,74,92,5.75
169,Pudozh,RU,2022-04-16 23:53:17,61.8099,36.5345,21.15,97,52,1.03
170,Qaanaaq,GL,2022-04-16 23:45:57,77.484,-69.3632,-16.89,74,35,6.22
171,Mumford,GH,2022-04-16 23:53:17,5.2618,-0.759,78.67,84,100,6.02
172,Rantepao,ID,2022-04-16 23:53:17,-2.9701,119.8978,69.28,96,100,2.1
173,Puerto Suarez,BO,2022-04-16 23:53:18,-18.95,-57.8,74.01,60,22,4.7
174,Tiksi,RU,2022-04-16 23:53:18,71.6872,128.8694,-0.6,94,75,5.53
175,Kruisfontein,ZA,2022-04-16 23:53:18,-34.0033,24.7314,59.88,87,97,3.4
176,Upernavik,GL,2022-04-16 23:53:19,72.7868,-56.1549,-13.04,99,35,9.24
177,Harper,LR,2022-04-16 23:53:19,4.375,-7.7169,78.24,86,95,4.38
178,Kahului,US,2022-04-16 23:53:19,20.8947,-156.47,77.02,74,40,24.16
179,Mahebourg,MU,2022-04-16 23:53:20,-20.4081,57.7,77.29,88,40,10.36
180,Kasongo,CD,2022-04-16 23:53:20,-4.45,26.6667,67.21,97,87,1.12
181,Chulym,RU,2022-04-16 23:53:20,55.0997,80.9572,47.43,61,98,7.11
182,Lakes Entrance,AU,2022-04-16 23:49:11,-37.8811,147.981,69.3,52,41,5.32
183,Palmer,US,2022-04-16 23:48:46,42.1584,-72.3287,48.09,81,100,14.97
184,Bayonet Point,US,2022-04-16 23:53:21,28.3267,-82.6834,79.18,84,7,3.0
185,San Antonio,US,2022-04-16 23:50:12,29.4241,-98.4936,88.32,59,0,8.05
186,Nouadhibou,MR,2022-04-16 23:54:21,20.931,-17.0347,64.38,94,75,14.97
